"Company";"Company_Old";"NAIC";"Plan";"State";"Area";"Zip_Lookup_Code";"Gender";"T/NT";"Couple_Fac";"Eff_Date";"Rate_Type";"Age_For_Sorting";"Lowest_Rate?";"Highest_Rate?";"Age";"Monthly_Rate";"Quarterly_Rate";"Semi-Annual_Rate";"Annual_Rate";"Policy Fee";"Household Discount"
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";90.00;"N";"Y";"90";340.28;1082.53;2124.20;4085.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";91.00;"N";"Y";"91";342.86;1090.74;2140.32;4116.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";92.00;"N";"Y";"92";345.11;1097.90;2154.36;4143.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";93.00;"N";"Y";"93";347.28;1104.79;2167.88;4169.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";94.00;"N";"Y";"94";349.03;1110.35;2178.80;4190.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";95.00;"N";"Y";"95";350.69;1115.65;2189.20;4210.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";96.00;"N";"Y";"96";352.86;1122.54;2202.72;4236.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";97.00;"N";"Y";"97";354.52;1127.84;2213.12;4256.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";98.00;"N";"Y";"98";356.27;1133.41;2224.04;4277.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";99.00;"N";"Y";"99";358.19;1139.50;2236.00;4300.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F";"NM";2;31106.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";100.00;"N";"Y";"100";358.19;1139.50;2236.00;4300.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";55.81;177.55;348.40;670.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";55.81;177.55;348.40;670.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";55.81;177.55;348.40;670.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";58.14;184.97;362.96;698.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";60.48;192.39;377.52;726.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";62.72;199.55;391.56;753.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";64.81;206.17;404.56;778.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";66.89;212.80;417.56;803.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";68.72;218.63;429.00;825.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";70.47;224.19;439.92;846.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";71.97;228.96;449.28;864.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";73.55;234.00;459.16;883.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";74.80;237.97;466.96;898.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";75.97;241.68;474.24;912.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";76.97;244.86;480.48;924.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";77.97;248.04;486.72;936.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";78.89;250.96;492.44;947.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";82.00;"Y";"N";"82";79.88;254.14;498.68;959.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";83.00;"Y";"N";"83";80.97;257.58;505.44;972.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";84.00;"Y";"N";"84";81.80;260.23;510.64;982.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";85.00;"Y";"N";"85";82.80;263.41;516.88;994.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";86.00;"Y";"N";"86";83.55;265.80;521.56;1003.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";87.00;"Y";"N";"87";84.47;268.71;527.28;1014.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";88.00;"Y";"N";"88";85.30;271.36;532.48;1024.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";89.00;"Y";"N";"89";85.80;272.95;535.60;1030.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";90.00;"Y";"N";"90";86.55;275.34;540.28;1039.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";91.00;"Y";"N";"91";87.30;277.72;544.96;1048.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";92.00;"Y";"N";"92";87.80;279.31;548.08;1054.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";93.00;"Y";"N";"93";88.55;281.70;552.76;1063.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";94.00;"Y";"N";"94";88.80;282.49;554.32;1066.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";95.00;"Y";"N";"95";89.38;284.35;557.96;1073.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";96.00;"Y";"N";"96";89.80;285.67;560.56;1078.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";97.00;"Y";"N";"97";90.30;287.26;563.68;1084.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";98.00;"Y";"N";"98";90.80;288.85;566.80;1090.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";99.00;"Y";"N";"99";91.13;289.91;568.88;1094.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";100.00;"Y";"N";"100";91.13;289.91;568.88;1094.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";62.06;197.43;387.40;745.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";62.06;197.43;387.40;745.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";62.06;197.43;387.40;745.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";64.64;205.64;403.52;776.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";67.14;213.59;419.12;806.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";69.47;221.01;433.68;834.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";71.97;228.96;449.28;864.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";74.22;236.12;463.32;891.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";76.39;243.01;476.84;917.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";78.39;249.37;489.32;941.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";80.05;254.67;499.72;961.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";81.55;259.44;509.08;979.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";83.13;264.47;518.96;998.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";84.30;268.18;526.24;1012.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";85.47;271.89;533.52;1026.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";86.47;275.07;539.76;1038.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";87.71;279.05;547.56;1053.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";82.00;"Y";"N";"82";88.80;282.49;554.32;1066.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";83.00;"Y";"N";"83";89.80;285.67;560.56;1078.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";84.00;"Y";"N";"84";90.96;289.38;567.84;1092.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";85.00;"Y";"N";"85";91.96;292.56;574.08;1104.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";86.00;"Y";"N";"86";92.80;295.21;579.28;1114.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";87.00;"Y";"N";"87";93.71;298.13;585.00;1125.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";88.00;"Y";"N";"88";94.63;301.04;590.72;1136.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";89.00;"Y";"N";"89";95.46;303.69;595.92;1146.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";90.00;"Y";"N";"90";96.13;305.81;600.08;1154.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";91.00;"Y";"N";"91";96.96;308.46;605.28;1164.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";92.00;"Y";"N";"92";97.79;311.11;610.48;1174.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";93.00;"Y";"N";"93";98.21;312.44;613.08;1179.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";94.00;"Y";"N";"94";98.79;314.29;616.72;1186.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";95.00;"Y";"N";"95";99.29;315.88;619.84;1192.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";96.00;"Y";"N";"96";99.63;316.94;621.92;1196.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";97.00;"Y";"N";"97";100.38;319.33;626.60;1205.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";98.00;"Y";"N";"98";100.79;320.65;629.20;1210.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";99.00;"Y";"N";"99";101.38;322.51;632.84;1217.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";100.00;"Y";"N";"100";101.38;322.51;632.84;1217.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";64.39;204.85;401.96;773.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";64.39;204.85;401.96;773.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";64.39;204.85;401.96;773.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";66.89;212.80;417.56;803.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";69.47;221.01;433.68;834.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";72.05;229.23;449.80;865.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";74.80;237.97;466.96;898.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";76.97;244.86;480.48;924.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";78.89;250.96;492.44;947.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";81.13;258.11;506.48;974.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";82.88;263.68;517.40;995.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";84.47;268.71;527.28;1014.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";85.80;272.95;535.60;1030.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";87.30;277.72;544.96;1048.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";88.55;281.70;552.76;1063.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";89.63;285.14;559.52;1076.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";90.80;288.85;566.80;1090.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";82.00;"Y";"N";"82";91.96;292.56;574.08;1104.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";83.00;"Y";"N";"83";93.05;296.01;580.84;1117.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";84.00;"Y";"N";"84";94.13;299.45;587.60;1130.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";85.00;"Y";"N";"85";95.13;302.63;593.84;1142.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";86.00;"Y";"N";"86";96.13;305.81;600.08;1154.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";87.00;"Y";"N";"87";97.04;308.73;605.80;1165.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";88.00;"Y";"N";"88";97.96;311.64;611.52;1176.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";89.00;"Y";"N";"89";98.79;314.29;616.72;1186.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";90.00;"Y";"N";"90";99.46;316.41;620.88;1194.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";91.00;"Y";"N";"91";100.38;319.33;626.60;1205.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";92.00;"Y";"N";"92";101.13;321.71;631.28;1214.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";93.00;"Y";"N";"93";101.63;323.30;634.40;1220.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";94.00;"Y";"N";"94";102.38;325.69;639.08;1229.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";95.00;"Y";"N";"95";102.79;327.01;641.68;1234.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";96.00;"Y";"N";"96";103.21;328.34;644.28;1239.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";97.00;"Y";"N";"97";103.79;330.19;647.92;1246.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";98.00;"Y";"N";"98";104.46;332.31;652.08;1254.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";99.00;"Y";"N";"99";104.79;333.37;654.16;1258.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";100.00;"Y";"N";"100";104.79;333.37;654.16;1258.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";71.39;227.11;445.64;857.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";71.39;227.11;445.64;857.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";71.39;227.11;445.64;857.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";74.22;236.12;463.32;891.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"F (High)";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";77.30;245.92;482.56;928.00;"$20";
